Book-Title,Author,User Rating,Reviews,Price,Year,Genre,User-ID,ISBN,Book-Rating,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Location,Age,Page Count
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Biography & Autobiography,235105,1594200092,9,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"st louis, missouri, usa",46.0,0
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Biography & Autobiography,8681,1594200092,0,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"orlando, florida, usa",34.0,0
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Biography & Autobiography,204457,1594200092,0,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"hawthorne, new jersey, usa",55.0,0
Becoming,Michelle Obama,4.8,61133,11,2018,Christian life,64241,0875790348,0,Blaine M. Yorpason,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",43.0,162
Becoming,Michelle Obama,4.8,61133,11,2019,Christian life,64241,0875790348,0,Blaine M. Yorpason,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",43.0,162
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,166123,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"cortez, colorado, usa",32.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,94923,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"brick, new jersey, usa",40.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,136252,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"santa fe, new mexico, usa",33.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,102647,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"modesto, california, usa",14.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,257204,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"akron, ohio, usa",32.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,110483,0671721100,10,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"fredericton, new brunswick, canada",30.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,11657,0671721100,6,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"cincinnati, ohio, usa",25.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,233911,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"romney, west virginia, usa",41.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,16835,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"bronx, new york, usa",28.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,3167,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"milwaukee, wisconsin, usa",42.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Biography & Autobiography,212328,044010694X,10,Dave Marsh,1985,Dell Publishing Company,http://images.amazon.com/images/P/044010694X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044010694X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044010694X.01.LZZZZZZZ.jpg,"killeen, texas, usa",34.0,300
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,170164,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"la ronge, saskatchewan, canada",27.0,123
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Elves,168728,0671721100,8,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"bangor, wales, united kingdom",48.0,123
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Juvenile Fiction,235842,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"griswold, iowa, usa",41.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Juvenile Fiction,16795,0805047905,5,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"mechanicsville, maryland, usa",47.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Juvenile Fiction,198711,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"little canada, minnesota, usa",62.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Juvenile Fiction,11993,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"lakewood, colorado, usa",37.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Juvenile Fiction,38595,0805047905,10,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"edmonton, alberta, canada",13.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Juvenile Fiction,235842,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"griswold, iowa, usa",41.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Juvenile Fiction,16795,0805047905,5,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"mechanicsville, maryland, usa",47.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Juvenile Fiction,198711,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"little canada, minnesota, usa",62.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Juvenile Fiction,11993,0805047905,0,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"lakewood, colorado, usa",37.0,28
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Juvenile Fiction,38595,0805047905,10,Bill Martin Jr.,1996,Henry Holt and Co. (BYR),http://images.amazon.com/images/P/0805047905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805047905.01.LZZZZZZZ.jpg,"edmonton, alberta, canada",13.0,28
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,6543,0345342968,8,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"strafford, missouri, usa",34.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,23768,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"st. louis, missouri, usa",45.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Adventure stories,115435,0345320328,0,Ray Bradbury,1979,Del Rey Books,http://images.amazon.com/images/P/0345320328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345320328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345320328.01.LZZZZZZZ.jpg,"cincinnati, ohio, usa",30.0,184
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,260897,0345342968,8,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"chicago, illinois, usa",25.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,271448,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"ona, west virginia, usa",27.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,28204,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"south ohio, nova scotia, canada",61.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,39396,3257208626,0,Ray Bradbury,1994,Distribooks Inc,http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg,"bonn, nordrhein-westfalen, germany",20.0,175
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,159033,0345342968,9,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"taneytown, maryland, usa",46.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Adventure stories,159033,0345320328,9,Ray Bradbury,1979,Del Rey Books,http://images.amazon.com/images/P/0345320328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345320328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345320328.01.LZZZZZZZ.jpg,"taneytown, maryland, usa",46.0,184
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,220911,0345410017,0,RAY BRADBURY,1996,Ballantine Books,http://images.amazon.com/images/P/0345410017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345410017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345410017.01.LZZZZZZZ.jpg,"palm desert, california, usa",29.0,196
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,230522,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,21356,0345342968,7,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"westwood, new jersey, usa",56.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,96054,0345342968,5,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"ottawa, ontario, canada",29.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,98741,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"fairbanks, alaska, usa",30.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,16795,0345342968,8,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"mechanicsville, maryland, usa",47.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,38023,0345342968,9,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"hayward, california, usa",30.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,76352,0345342968,9,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"olympia, washington, usa",58.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,110973,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"wiley ford, west virginia, usa",43.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,114444,0345342968,10,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"alexandria, virginia, usa",34.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,131046,0345342003,0,Ray Bradbury,1979,Del Rey Books,http://images.amazon.com/images/P/0345342003.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342003.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342003.01.LZZZZZZZ.jpg,"ellington, connecticut, usa",26.0,0
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,152099,0345342968,8,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"wickenburg, arizona, usa",14.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,171968,0345410017,0,RAY BRADBURY,1996,Ballantine Books,http://images.amazon.com/images/P/0345410017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345410017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345410017.01.LZZZZZZZ.jpg,"irving, texas, usa",23.0,196
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,211426,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"pueblo, colorado, usa",24.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,224146,0345342968,9,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"sarnia, ontario, canada",35.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,246000,0345342968,8,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"saratoga, california, usa",20.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,274061,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"gahanna/columbus, ohio, usa",26.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,167800,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"olive branch, mississippi, usa",57.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,187517,067187036X,0,Ray Bradbury,1993,Simon &amp; Schuster,http://images.amazon.com/images/P/067187036X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067187036X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067187036X.01.LZZZZZZZ.jpg,"brooklyn, new york, usa",28.0,200
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,204864,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"simi valley, california, usa",47.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,231210,0345342968,0,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"roanoke, virginia, usa",44.0,212
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Book burning,23872,0345342968,9,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,"tulsa, oklahoma, usa",22.0,212
