Book-Title,Author,User Rating,Reviews,Price,Year,Genre,User-ID,ISBN,Book-Rating,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Location,Age
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,235105,1594200092,9,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"st louis, missouri, usa",46.0
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,8681,1594200092,0,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"orlando, florida, usa",34.0
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,204457,1594200092,0,Ron Chernow,2004,The Penguin Press HC,http://images.amazon.com/images/P/1594200092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594200092.01.LZZZZZZZ.jpg,"hawthorne, new jersey, usa",55.0
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,64241,0875790348,0,Blaine M. Yorpason,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",43.0
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,64241,0875790348,0,Blaine M. Yorpason,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",43.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,166123,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"cortez, colorado, usa",32.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,94923,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"brick, new jersey, usa",40.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,136252,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"santa fe, new mexico, usa",33.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,102647,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"modesto, california, usa",14.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,257204,0671721100,0,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"akron, ohio, usa",32.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,110483,0671721100,10,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"fredericton, new brunswick, canada",30.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,11657,0671721100,6,Mercedes Lackey,1992,Baen,http://images.amazon.com/images/P/0671721100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721100.01.LZZZZZZZ.jpg,"cincinnati, ohio, usa",25.0
